Format,1.0B,
Memory Length,10000,Memory Length,10000,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-2, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
5, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
-4, ,-7, ,
4, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
5, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
4, ,-7, ,
4, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
5, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
5, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
4, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
5, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
5, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
4, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
4, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
5, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
5, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
6, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
5, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
4, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
4, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
0, ,-7, ,
4, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
4, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
3, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
4, ,-7, ,
0, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
0, ,-7, ,
0, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
3, ,-7, ,
4, ,-7, ,
0, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-4, ,-7, ,
3, ,-7, ,
1, ,-7, ,
3, ,-7, ,
1, ,-7, ,
1, ,-7, ,
-1, ,-7, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
4, ,-7, ,
3, ,-7, ,
0, ,-7, ,
3, ,-7, ,
0, ,-7, ,
1, ,-7, ,
1, ,-7, ,
0, ,-7, ,
3, ,-7, ,
4, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
3, ,-7, ,
3, ,-7, ,
-5, ,-7, ,
3, ,-7, ,
3, ,-7, ,
4, ,-7, ,
0, ,-7, ,
0, ,-7, ,
0, ,-7, ,
4, ,-7, ,
-2, ,-7, ,
1, ,-7, ,
4, ,-7, ,
1, ,-7, ,
